attrs,values
units,"1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,neighbour_selection_method,vertical_displacement
0,2000-01-01,0,578,-0.60329998,53.84799957,nearest,12.15040588
0,2000-01-01,0,579,-1.40680003,54.83259964,nearest,18.47911072
0,2000-01-01,0,580,-4.86259985,50.47930145,nearest,42.70991516
0,2000-01-01,0,581,-0.17160000,52.55659866,nearest,6.68566704
0,2000-01-01,0,582,1.12559998,52.33349991,nearest,7.46965790
0,2000-01-01,0,583,-4.16900015,58.51559830,nearest,20.50209808
0,2000-01-01,0,584,-9.24090004,53.28689957,nearest,28.18096161
0,2000-01-01,0,599,-0.75239998,53.60390091,nearest,-0.30117393
0,2000-01-01,0,600,-7.10750008,53.99940109,nearest,25.31388855
0,2000-01-01,0,601,-9.12129974,52.40119934,nearest,116.60621643
0,2000-01-01,0,602,-0.85299999,53.11800003,nearest,8.60684013
0,2000-01-01,0,603,-0.83730000,53.17060089,nearest,18.64947128
0,2000-01-01,0,604,-0.52700001,53.99390030,nearest,31.90038681
0,2000-01-01,0,605,-0.16450000,53.86849976,nearest,0.71259975
0,2000-01-01,0,606,-0.16689999,53.56069946,nearest,13.43936157
0,2000-01-01,0,607,-1.06060004,53.08919907,nearest,17.83049774
0,2000-01-01,0,608,-0.78869998,53.84889984,nearest,-0.92263079
0,2000-01-01,0,609,-0.77130002,53.75770187,nearest,0.25299811
0,2000-01-01,0,610,-0.80629998,53.81200027,nearest,-0.26879740
0,2000-01-01,0,611,-1.37450004,54.79449844,nearest,7.27613831
