attrs,values
units,"m s-1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"['[', '0', ',', ' ', '0', ']']"
level,time,dtime,id,lon,lat,wind_speed,percentile
0.00000000,2023-02-20 06:00:00,6,492,-1.25430000,54.49110031,4.57509851,50.00000000
0.00000000,2023-02-20 06:00:00,6,493,-1.17799997,52.50049973,5.54244947,50.00000000
0.00000000,2023-02-20 06:00:00,6,494,-2.11400008,57.31549835,5.13420677,50.00000000
0.00000000,2023-02-20 06:00:00,6,501,-1.46959996,53.38240051,2.63991880,50.00000000
0.00000000,2023-02-20 06:00:00,6,503,-3.57419991,55.23899841,4.52721834,50.00000000
0.00000000,2023-02-20 06:00:00,6,504,-2.08780003,57.18610001,3.96492910,50.00000000
0.00000000,2023-02-20 06:00:00,6,505,10.09119987,53.67350006,6.40658045,50.00000000
0.00000000,2023-02-20 06:00:00,6,508,6.78840017,53.45159912,7.54154730,50.00000000
0.00000000,2023-02-20 06:00:00,6,509,4.38399982,51.66550064,5.35408831,50.00000000
0.00000000,2023-02-20 06:00:00,6,513,-2.24799991,53.66199875,6.94779873,50.00000000
0.00000000,2023-02-20 06:00:00,6,514,-3.48399997,53.10900116,5.94708204,50.00000000
0.00000000,2023-02-20 06:00:00,6,515,-3.94280005,55.70169830,6.47969007,50.00000000
0.00000000,2023-02-20 06:00:00,6,516,-3.51239991,51.69110107,5.05584145,50.00000000
0.00000000,2023-02-20 06:00:00,6,517,-2.57739997,57.62689972,4.96231174,50.00000000
0.00000000,2023-02-20 06:00:00,6,518,-9.38189983,51.62979889,5.68495560,50.00000000
0.00000000,2023-02-20 06:00:00,6,519,-4.22970009,55.77059937,3.81671548,50.00000000
0.00000000,2023-02-20 06:00:00,6,520,-1.89760005,54.91260147,7.90679455,50.00000000
0.00000000,2023-02-20 06:00:00,6,521,-0.09800000,52.51100159,5.88422871,50.00000000
0.00000000,2023-02-20 06:00:00,6,522,-1.76830006,54.76470184,8.27750015,50.00000000
0.00000000,2023-02-20 06:00:00,6,523,-2.00850010,55.15710068,7.71228838,50.00000000
0.00000000,2023-02-20 06:00:00,6,531,-2.91589999,54.02780151,7.69831228,50.00000000
0.00000000,2023-02-20 06:00:00,6,532,1.61889994,52.21179962,5.41112471,50.00000000
0.00000000,2023-02-20 06:00:00,6,533,0.96399999,50.91339874,3.94075656,50.00000000
0.00000000,2023-02-20 06:00:00,6,534,-1.71980000,52.45389938,4.30931377,50.00000000
0.00000000,2023-02-20 06:00:00,6,537,-2.78629994,53.88859940,5.01208591,50.00000000
0.00000000,2023-02-20 06:00:00,6,538,-6.55240011,52.62210083,2.23450398,50.00000000
0.00000000,2023-02-20 06:00:00,6,539,-9.15820026,52.10770035,4.11900902,50.00000000
0.00000000,2023-02-20 06:00:00,6,540,-8.93789959,51.81169891,4.35447931,50.00000000
0.00000000,2023-02-20 06:00:00,6,541,-3.07879996,55.18420029,3.81660867,50.00000000
0.00000000,2023-02-20 06:00:00,6,542,-3.12350011,58.43700027,7.61982250,50.00000000
0.00000000,2023-02-20 06:00:00,6,543,-3.45910001,52.92229843,3.58367085,50.00000000
0.00000000,2023-02-20 06:00:00,6,545,7.65829992,49.96879959,2.88236117,50.00000000
